ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,fold_enrichment,ci_lower,ci_upper
GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_DN,189,0.6338932098163333,2.693344142089844,1e-10,7.733333333333333e-9,4.666666666666666e-9,3086,"tags=48%, list=16%, signal=41%",PDK1/BCL2A1/NARF/RLF/PHC2/BNIP3L/HK2/ERO1A/KDM3A/OSM/SPP1/YEATS2/TCAF2/ENO1/MXI1/SQOR/CSRNP1/MAPK1IP1L/FAM162A/PPP1R15A/ZNF654/RELT/ZNF292/HPCAL1/MORF4L2/DUSP3/CARD19/MAP2K3/PER1/NUP58/HPS5/GRAMD1A/B4GALT5/NFKBIZ/KDM4C/GYS1/PKD2/KDM4B/RAB8B/MTFP1/SAP30/EDEM1/GPI/RAB21/ZBTB25/SLC31A1/TNFRSF1B/NINJ1/SLC3A2/TERF2IP/TPI1/WDR54/ICAM1/FCRLB/OXSR1/NOD2/ALKBH5/SLC43A3/FAM210A/NR4A1/P4HB/LONP1/DDIT3/ZNF395/KMT2E/VGLL4/G0S2/RELA/CEBPB/USP37/IL4I1/PDXK/PKM/WDR45B/AK2/PSMA6/TBC1D2/GPAT4/EIF4A3/RIMKLA/PHF21A/TNIP1/SH3D21/ZNF12/OXSM/FFAR3/RNF181/GUK1/UFSP2/IFNGR2/SERTAD2,2.693344142089844,NA,NA
GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,193,0.6105553049222643,2.603083412359036,1e-10,7.733333333333333e-9,4.666666666666666e-9,2856,"tags=47%, list=15%, signal=41%",SLC2A3/RGS1/ZFP36/BCAT1/CTNNA1/CDKN1A/IL1B/LMNA/PHLDB1/BTG2/SLC16A7/PTPN2/CD69/IL1RAP/XBP1/PIM1/CCL3/PPP1R15A/JUNB/SEC24D/DUSP1/DDIT4/HMOX1/S100A9/ATF3/CD163/TIPARP/PDGFA/FLOT1/MAP2K3/BIN1/CXCL8/SLC16A3/ARID5A/BCL3/S100A8/LIMK2/TNF/ITM2A/TUBB4A/EMP1/PPIF/YWHAZ/RHOB/CCL4/ICAM1/ATP13A3/HSPA1A/CLIC1/RBM4/SERPINB8/TGFBI/UAP1/CKAP4/FABP5/DNAJB1/TSC22D3/HMGA1/CXCL1/PLTP/RPL10A/TRAF1/PRKRA/STIP1/MARCKSL1/G0S2/THBS1/PXDC1/ICE1/DUSP5/ICOSLG/GDI2/TXNRD1/CKS2/SLC7A5/HSP90AB1/TNFSF14/UPP1/ASGR2/PLOD3/IL3RA/EIF4A3/SH3BP5/PCYT1A/EEF1B2/STAB1/RPLP0/HNRNPL/AGO2/RPL35/SAFB,2.603083412359036,NA,NA
GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_DN,197,0.6091656484807464,2.597806995432002,1e-10,7.733333333333333e-9,4.666666666666666e-9,3572,"tags=47%, list=19%, signal=39%",GLUL/NARF/ELL2/GADD45B/ERO1A/CD69/KDM3A/OSM/YEATS2/NFKBIA/MAPK1IP1L/ADIPOR2/ZNF654/RELT/ZNF292/HPCAL1/MORF4L2/FGFR1OP2/CRY1/HPS5/NR4A3/BCL3/HNRNPU/RAB8B/EIF2AK3/GPI/RAB21/CSNK1A1/AK4/TFG/SLC3A2/NFE2L2/TPI1/ICAM1/FCRLB/RRAGD/OXSR1/ALKBH5/CD63/SFXN3/ING1/SLC43A3/NR4A1/CEP95/SNHG12/INTS6L/ZMYM2/P4HB/CDK2/GLA/LONP1/NUP98/RABGEF1/ZNF395/SPAG4/SEC61G/PDXK/TMCO3/WDR45B/IRAK2/ZNF277/FAM50A/TMEM140/AK2/ARL5B/PSMA6/TBC1D2/EMD/EIF4A3/SH3BP5/NGLY1/JOSD1/MAPK6/GPR160/MTCH2/SLC36A4/VDAC1/SAFB/ZNF674-AS1/FFAR3/MALT1/PTGES3/IFNGR2/SCYL2/ETF1/PRDX4/FKBP15/TM9SF3/PPIL4/CLDND1/ZHX2/RBBP8/ATF2,2.597806995432002,NA,NA
GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN,183,0.5992894313280624,2.534582842603399,1e-10,7.733333333333333e-9,4.666666666666666e-9,3017,"tags=44%, list=16%, signal=38%",PDK1/PGK1/P4HA1/NARF/RLF/PHC2/TFRC/BNIP3L/HK2/ERO1A/KDM3A/FEM1C/OSM/IL1RAP/NFKBIA/HILPDA/ENO1/MAPK1IP1L/FAM162A/ADM/DDIT4/BNIP3/ZNF654/TGFBR1/ZNF292/LDHA/DUSP3/NUP58/GRAMD1A/GYS1/HDHD5/PKD2/KDM4B/MTFP1/SAP30/EDEM1/GPI/RANBP2/ZBTB25/CTDP1/TNFRSF1B/TMF1/FNDC3B/TPI1/ICAM1/NOD2/ALKBH5/SLC43A3/FAM210A/GBE1/ANKRD37/SEC24A/LONP1/RIOK3/SLC25A21-AS1/PLIN2/ZNF395/VGLL4/RELA/PDXK/THUMPD3/PKM/ICOSLG/SQSTM1/MUC6/PSMA6/GPAT4/RIMKLA/GRPEL1/NGLY1/IRF2BP2/TNIP1/LZTS2/BHLHE40/SH3D21/OXSM/VDAC1/FFAR3/GUK1/UFSP2/IFNGR2,2.534582842603399,NA,NA
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_DN,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_DN,188,0.5967880494972081,2.5320856465940986,1e-10,7.733333333333333e-9,4.666666666666666e-9,2714,"tags=43%, list=14%, signal=37%",TLR2/DENND3/NAMPT/SH3PXD2B/BCL2A1/STK3/TREM1/ACSL1/SLC25A37/BEST1/PLAUR/BATF/ADGRE2/MT1M/PFKFB3/BCL6/CD59/ITGB8/ADM/DDIT4/ANKRD22/FCAR/SERPINA1/HAS1/LDHA/GK/GCH1/NFKBIZ/MT1X/FSD1L/PLSCR1/LIMK2/AFDN/BTG3/TRIP10/TBC1D30/FCER1G/WNT5A/HLX/AK4/PLAC8/ELOVL7/FNDC3B/CCL4/PTGS2/ICAM1/ATP13A3/FERMT2/CLIC1/IER5/GLRX/ALOX5AP/SPACA6/SOD2/CASP5/FTH1/PVR/CKAP4/TOM1/CXCL1/TRAF1/G0S2/CDKN2D/CDC42EP2/PIK3AP1/PKM/RILPL2/FUT8/CCL20/BBIP1/MT2A/TUBB4B/INSIG2/GK5/NFKB2/ZNF207/CISH/TNIP1/PTX3/FPR2,2.5320856465940986,NA,NA
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_UP,182,0.5962895857886156,2.514468161818437,1e-10,7.733333333333333e-9,4.666666666666666e-9,2259,"tags=41%, list=12%, signal=37%",SOCS3/RGS1/BCL2A1/GBP2/ELL2/IL1B/TFRC/GADD45B/ACSL1/BTG2/HIVEP2/PLAUR/PFKFB3/MAFF/SCN1B/NFKBIA/RGCC/CSRNP1/ADM/PPP1R15A/DUSP1/DDIT4/TIFA/GADD45A/HAS1/GK/EGR1/NUP58/CXCL8/GCH1/GRAMD1A/FOSL1/NFKBIZ/NR4A3/ID2/PLK3/TNF/BTG3/PSMD5/CCDC59/TRIP10/GBP1/RAB21/PIM3/CCL4/NOCT/PTGS2/NFE2L2/ETS2/CSF3/EGR3/ICAM1/MAP3K8/SOD2/SERPINB8/CASP5/DENND4A/NR4A1/NAF1/NBN/TXN/AREG/CXCL1/GPR84/UBE2D1/G0S2/ADORA2A-AS1/DUSP5/PLEKHF2/JUN/NR4A2/CLCF1/HNRNPC/CCL20/ARL5B,2.514468161818437,NA,NA
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_UP,193,0.5883453787887563,2.5083920881796233,1e-10,7.733333333333333e-9,4.666666666666666e-9,4101,"tags=51%, list=21%, signal=41%",NAMPT/SLC2A3/SOCS3/RGS1/ZFP36/TREM1/GLUL/ARHGAP26/SGK1/IL1B/PFKFB3/NFKBIA/BCL6/MAPK1IP1L/SGTA/ADM/PPP1R15A/JUNB/DUSP1/DDIT4/NFIL3/FCAR/MGAM/GSN/TYMP/FPR1/PAK2/MCL1/HNRNPU/PLK3/DHCR7/GPI/MAFB/ELMO1/PPIF/YWHAZ/HMGB2/EGR3/SFN/DDX3X/SCO2/JUND/UAP1/CKAP4/AREG/HSPA9/COPG1/TSC22D3/IBTK/CXCR4/P4HB/IER2/EHD4/G0S2/FOSB/DUSP5/PDIA3/HNRNPH2/NR4A2/CHFR/UPP1/NFKB2/SLC30A9/HSPA5/PHF21A/MAPK6/ADNP2/PDIA4/BHLHE40/GNAI3/PTX3/FPR2/PSMD13/HNRNPK/SAFB/SPATA2L/HBEGF/PRCC/NADSYN1/SOCS1/PAF1/RAB8A/STX11/CIRBP/SAT1/GLUD1/SAFB2/TSPAN14/QSOX1/PIGA/RRP12/EIF4ENIF1/PPP4C/CTSD/NDUFV1/IL1R1/ATP6V0A1/ZBTB17/NOC2L,2.5083920881796233,NA,NA
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN,190,0.5845150789662313,2.4868639665208767,1e-10,7.733333333333333e-9,4.666666666666666e-9,2374,"tags=38%, list=12%, signal=34%",TLR2/SOCS3/RGS1/ZFP36/FOS/VEGFA/SGK1/CD14/GADD45B/BTG2/CD69/FEM1C/OSM/IRF1/PIM1/MAFF/NFKBIA/BCL6/HILPDA/CSRNP1/KLF6/PPP1R15A/JUNB/DUSP1/CCNL1/ATF3/CCL2/TIPARP/EGR1/NFKBIZ/ID2/ARID5A/MCL1/PLSCR1/TNF/ARFGAP3/FANCL/ODC1/NFKBID/UBC/IFRD1/HMGB2/CCL4/PTGS2/HSPA1A/HSPA1B/IER5/MAP3K8/AOC3/CDH11/STK35/GPR84/IER2/RPS8/MYC/TRAF1/RAB20/MARCKSL1/ZFAND5/CEBPB/CDC42EP2/DUSP5/TNFSF9/JUN/CKS2/GDF15/SQSTM1/ATPAF1/SPATS2/ARL5B/C3orf38/GK5/POLB,2.4868639665208767,NA,NA
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP,GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP,184,0.5791849038141772,2.4519594489426546,1e-10,7.733333333333333e-9,4.666666666666666e-9,4111,"tags=55%, list=21%, signal=44%",SLC2A3/RGS1/LINC01010/CDKN1A/SGK1/ELL2/LRRC8B/TFRC/GADD45B/PLAUR/SPP1/RGCC/CSRNP1/ADM/DUSP1/DDIT4/FNIP2/CHSY1/ATF3/PMAIP1/EGR1/DUSP3/THBD/SNX9/CXCL8/FOSL1/ANKRD28/LONRF3/TNF/RAB1A/PLEKHM1/CSF1/GPRC5A/PPARG/JMJD1C/SLC3A2/STX3/PTGS2/OSGIN1/ETS2/EGR3/RRAGD/EFR3A/FERMT2/SGMS1/NR4A1/TXN/HSPA9/RASD1/FAM131A/GLA/ZBTB21/RABGEF1/ESYT2/RAB20/CEBPB/SGMS2/DUSP5/KLF10/BAG3/AFF4/JUN/NR4A2/TXNRD1/CKS2/PTPRE/MELTF/TNFSF14/UPP1/TBC1D2/NSMAF/SH3BP5/SESN2/F3/MAPK6/CHAC1/GCLM/SLCO4A1/ZNF674-AS1/PLCXD1/ABL2/HBEGF/MAFK/ETF1/ELOC/ASPH/DYRK3/KLHL6/HOMER1/CLDND1/TCEAL9/TMEM38B/GNA13/PNP/IL1R1/PPFIA1/NAA50/INHBA/GPCPD1/KBTBD8/PLPP3,2.4519594489426546,NA,NA
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN,191,0.567003475911237,2.413008728683905,1e-10,7.733333333333333e-9,4.666666666666666e-9,5291,"tags=61%, list=28%, signal=45%",MIDN/RGCC/RPL9/LDHA/RPL18A/RPL37A/HNRNPU/RPS3/RPL30/RPL18/PTP4A2/TPT1/RPS16/ACTG1/RPS3A/RPL10/RPS6/YWHAZ/RPL17/UBE2D3/RPS9/RPL13A/ACTB/RPL13/SMARCD2/RPL7A/RPL19/PRDX1/EIF4A1/YBX1/TXN/FABP5/RPSA/TUBA1B/RACK1/RPS14/RPS15A/EIF3H/RPS4X/RPS19/RPS2/RPS23/RPL27A/RPL23A/RPL12/RPL14/RPS8/NUDT21/CYB5A/RPL5/RPS18/RPL3/RPL7/RPL11/RPL22/RPS11/RPL28/RPL37/RPL23/RPS5/RPL24/GDI2/RPS7/CKS2/CNP/B2M/HNRNPC/NUCKS1/ANXA2/PSMA6/NPM1/DCUN1D5/EEF1B2/ARF1/RPL26/RPLP0/RPS27/RPL35/ACTR3/C1QBP/RPLP2/NDUFB6/TUBB/EEF1G/RPL6/OAZ1/TPM3/HNRNPAB/RPL4/PPIA/RAP1B/DYNLT1/RPS25/ATP5PB/UBE2L3/ARPC2/RPS26/RPL22L1/PCNA/DAZAP2/NUTF2/CHTOP/SELENOW/ETS1/RPL27/SRSF3/EIF4B/PRKAR1A/PAM16/TKT/RPL34/HSP90AA1/RPL36/ATP5F1C/RPL38/SLC25A6/DNTT,2.413008728683905,NA,NA
